"","text","label"
"1","""Nothing would please me more,"" he assured her.","positive"
"2","""I should advise you to let me keep it for you,"" he replied, in the same tone of half-humorous gravity.","negative"
"3","She had died very sudden at the end, they said.","negative"
"4","The grudging fire which had been flickering feebly had died down now.","positive"
"5","All these considerations led me to the irresistible conclusion that Jefferson Hope was to be found among the jarveys of the Metropolis.","negative"
"6","For they must fight tyranny to the death, she thought.","negative"
"7","But, first of all, I must keep you in touch with some of the other factors in the situation.","positive"
"8","They had reached, she felt, a sunny island where peace dwelt, sanity reigned and the sun for ever shone, the blessed island of good boots.","positive"
"9","It was the sob of a woman, the muffled, strangling gasp of one who is torn by an uncontrollable sorrow.","negative"
"10","Emanuel, ""God is good, and loves all the sincere.","positive"
"11","Chariot and demon charioteer were gone by; the votary still lived.","positive"
"12","He is a professional brother of yours, and your presence may be of assistance to me.","positive"
"13","""Yes,"" she said, ""he loves beauty.""","positive"
"14","Babalatchi and Mrs. Almayer had listened curiously, their bodies bent and their ears turned towards the passage.","positive"
"15","""Oh, her Grove day,"" muttered the Colonel.","negative"
"16","May God long preserve to you the blessings of peace and innocence!","positive"
"17","""And how would you describe Mr. Sherlock Holmes?""","positive"
"18","They advanced rapidly and noiselessly, with the confidence and dexterity of practised scouts.","positive"
"19","He had good friends in Singapore who would take care of her and have her taught properly.","positive"
"20","It was a burning shame and a scandalous disgrace to act in that way.","negative"
"21","It was obvious to him that his wife had entirely confused the meaning of his instructions.","negative"
"22","Or should she return to her room, and spend the night working out the details of a very enlightened and ingenious scheme?","positive"
"23","He jumped up ashamed of his fury and stood perplexed, wiping his forehead.","negative"
"24","But I must see Lakamba first for your good and mine.""","positive"
"25","I assure you, I desire to be your friend.""","positive"
"26","How pleasant it was in its air of perfect domestic comfort!","positive"
"27","For now had come that moment, that hesitation when dawn trembles and night pauses, when if a feather alight in the scale it will be weighed down.","positive"
"28","Our young friend here and you have done most excellently well.""","positive"
"29","On the contrary, he was extremely angry, with the confused impotent anger of one who finds himself unreasonably but efficiently frustrated.","negative"
"30","For an instant I read hatred and menace in the evil eyes.","negative"
"31","""Well, he wasn't  altogether such an easy gentleman to describe.","negative"
"32","She looked up apprehensively, brushing aside these thoughts with annoyance.","negative"
"33","She'll give way, James thought, as he watched a look come upon her face, a look he remembered.","positive"
"34","There were bamboo tables; velvet books with brass hinges; marble gladiators askew on the mantelpiece and innumerable pictures.","positive"
"35","we are going to hear some news now with a vengeance!","negative"
"36","Young speedily proved himself to be a skilful administrator as well as a resolute chief.","positive"
